d-d-t,r-r-t,decay-factor,Year,HumanAnnualDLCases,HumanAnnualDogSerovarInc/10K,prop-rc-dscases,HumanAnnualRLCases,HumanAnnualRodentSerovarInc/10K,prop-dc-rscases,DogAnnualDLCases,DogAnnualRLCases,RodentAnnualRLCases,RodentAnnualDLCases,averageannODN,averageannSDN,averageDN,averageannRN,iteration
0.01,0.01,0.95,3,0,0,0.928,3,39,0.011,46,52,3188,338,65,65,130,1453,1
0.01,0.01,0.95,4,0,0,0.592,8,104,0.005,44,39,2944,152,60,62,122,1451,1
0.01,0.01,0.95,5,0,0,0.678,8,103,0.007,53,29,3065,229,63,54,117,1454,1
0.01,0.01,0.95,6,1,13,0.667,2,26,0.019,43,52,3229,189,74,52,126,1448,1
0.01,0.01,0.95,7,0,0,0.376,3,38,0.003,65,45,3836,188,78,52,130,1454,1
0.01,0.01,0.95,3,6,80,0.867,0,0,0.012,65,58,2967,248,98,71,169,1432,2
0.01,0.01,0.95,4,0,0,0.661,0,0,0.023,31,69,3429,101,99,77,176,1423,2
0.01,0.01,0.95,5,1,13,0.361,0,0,0.009,92,32,3363,128,103,80,183,1445,2
0.01,0.01,0.95,6,3,40,0.52,0,0,0.007,73,34,3499,181,102,78,180,1454,2
0.01,0.01,0.95,7,0,0,0.525,0,0,0.005,79,55,3026,199,102,76,178,1426,2
0.01,0.01,0.95,3,0,0,0.831,0,0,0.021,56,58,2437,428,98,93,191,1373,3
0.01,0.01,0.95,4,0,0,0.47,0,0,0.009,87,39,2627,324,98,93,191,1378,3
0.01,0.01,0.95,5,0,0,0.692,1,13,0.014,75,56,3430,378,108,102,210,1376,3
0.01,0.01,0.95,6,0,0,0.674,0,0,0.022,79,78,3787,191,103,99,202,1380,3
0.01,0.01,0.95,7,0,0,0.637,0,0,0.015,84,61,3389,241,96,95,191,1395,3
0.01,0.01,0.95,3,0,0,0.617,5,66,0.004,21,49,3123,85,57,95,152,1422,4
0.01,0.01,0.95,4,0,0,0.735,7,91,0.007,51,34,2851,183,71,75,146,1417,4
0.01,0.01,0.95,5,0,0,0.875,5,65,0.025,26,56,3118,246,87,64,151,1416,4
0.01,0.01,0.95,6,0,0,0.517,4,51,0.005,44,35,3486,247,95,57,152,1410,4
0.01,0.01,0.95,7,0,0,0.796,6,76,0.004,44,40,3513,232,92,60,152,1422,4
