d-d-t,r-r-t,decay-factor,Year,HumanAnnualDLCases,HumanAnnualDogSerovarInc/10K,prop-rc-dscases,HumanAnnualRLCases,HumanAnnualRodentSerovarInc/10K,prop-dc-rscases,DogAnnualDLCases,DogAnnualRLCases,RodentAnnualRLCases,RodentAnnualDLCases,averageannODN,averageannSDN,averageDN,averageannRN,iteration
0.01,0.01,0.95,3,0,0,0.852,4,55,0.01,41,39,1872,187,74,95,169,1459,1
0.01,0.01,0.95,4,0,0,0.558,9,124,0.017,56,56,2330,178,68,98,166,1472,1
0.01,0.01,0.95,5,1,14,0.891,10,138,0.021,31,46,2205,243,66,98,164,1457,1
0.01,0.01,0.95,6,0,0,0.746,12,166,0.009,76,29,1979,420,63,101,164,1470,1
0.01,0.01,0.95,7,0,0,0.77,8,110,0.009,64,37,1895,592,63,104,167,1451,1
0.01,0.01,0.95,3,2,27,0.868,0,0,0.004,52,39,3524,124,102,58,160,1452,2
0.01,0.01,0.95,4,0,0,0.495,0,0,0.008,63,37,3518,134,101,55,156,1447,2
0.01,0.01,0.95,5,0,0,0.642,0,0,0.012,41,51,3564,145,106,51,157,1453,2
0.01,0.01,0.95,6,0,0,0.583,0,0,0.003,64,28,3788,150,100,52,152,1450,2
0.01,0.01,0.95,7,1,13,0.518,0,0,0.01,26,47,3872,174,84,65,149,1454,2
0.01,0.01,0.95,3,0,0,0.435,0,0,0.016,55,45,2127,170,102,84,186,1372,3
0.01,0.01,0.95,4,0,0,0.584,0,0,0.005,56,44,2085,112,108,82,190,1377,3
0.01,0.01,0.95,5,0,0,0.748,0,0,0.018,37,48,2367,180,109,85,194,1379,3
0.01,0.01,0.95,6,0,0,0.567,0,0,0.018,39,37,2631,103,112,80,192,1379,3
0.01,0.01,0.95,7,0,0,0.728,0,0,0.017,40,64,2590,167,111,78,189,1393,3
0.01,0.01,0.95,3,1,13,0.712,12,159,0.011,44,39,2237,166,52,106,158,1420,4
0.01,0.01,0.95,4,1,13,0.811,7,94,0.028,22,36,2632,214,59,100,159,1419,4
0.01,0.01,0.95,5,0,0,0.504,7,94,0.019,38,61,2865,147,61,99,160,1417,4
0.01,0.01,0.95,6,0,0,0.414,5,67,0.01,39,37,2911,121,68,88,156,1422,4
0.01,0.01,0.95,7,0,0,0.838,3,40,0.008,11,46,3176,114,63,77,140,1424,4
0.01,0.01,0.95,3,0,0,0.418,0,0,0.027,51,70,3094,180,122,73,195,1439,5
0.01,0.01,0.95,4,0,0,0.684,0,0,0.013,33,62,3144,141,125,63,188,1431,5
0.01,0.01,0.95,5,0,0,0.493,0,0,0.012,52,37,2959,177,116,67,183,1440,5
0.01,0.01,0.95,6,0,0,0.713,0,0,0.008,30,46,2729,127,120,65,185,1440,5
0.01,0.01,0.95,7,0,0,0.951,0,0,0.018,15,26,2743,65,126,59,185,1430,5
0.01,0.01,0.95,3,0,0,1,0,0,0.001,7,47,2724,46,49,71,120,1441,6
