d-d-t,r-r-t,decay-factor,Year,HumanAnnualDLCases,HumanAnnualDogSerovarInc/10K,prop-rc-dscases,HumanAnnualRLCases,HumanAnnualRodentSerovarInc/10K,prop-dc-rscases,DogAnnualDLCases,DogAnnualRLCases,RodentAnnualRLCases,RodentAnnualDLCases,averageannODN,averageannSDN,averageDN,averageannRN,iteration
0.01,0.01,0.95,3,0,0,0.626,0,0,0.007,67,58,3319,248,102,72,174,1412,8
0.01,0.01,0.95,3,0,0,0.515,0,0,0.014,55,68,2867,257,113,79,192,1367,18
0.01,0.01,0.95,3,0,0,0.539,0,0,0.011,51,59,2703,164,99,72,171,1444,5
0.01,0.01,0.95,3,1,14,0.963,0,0,0.014,5,66,3086,21,81,60,141,1390,14
0.01,0.01,0.95,3,13,178,0.873,0,0,0.008,38,57,2273,288,58,90,148,1432,32
0.01,0.01,0.95,3,0,0,0.48,0,0,0.014,54,56,3001,277,114,49,163,1424,35
0.01,0.01,0.95,3,0,0,0.863,0,0,0.021,52,67,2766,211,106,64,170,1435,13
0.01,0.01,0.95,3,8,103,0.763,0,0,0.019,61,73,3004,229,86,88,174,1415,28
0.01,0.01,0.95,3,0,0,0.629,0,0,0.018,65,66,2954,299,107,68,175,1417,10
0.01,0.01,0.95,3,0,0,0.741,0,0,0.013,72,96,3335,325,155,58,213,1424,9
0.01,0.01,0.95,3,0,0,0.605,0,0,0.013,61,58,3186,253,68,96,164,1442,30
0.01,0.01,0.95,3,0,0,0.605,1,13,0.02,54,71,2457,331,81,84,165,1374,3
0.01,0.01,0.95,3,0,0,0.65,0,0,0.025,72,64,3098,279,77,91,168,1440,24
0.01,0.01,0.95,3,0,0,0.737,0,0,0.016,56,84,3459,277,97,73,170,1473,36
0.01,0.01,0.95,3,2,27,0.695,0,0,0.01,57,69,3670,215,89,84,173,1481,19
0.01,0.01,0.95,3,0,0,0.594,0,0,0.013,40,54,2496,146,90,62,152,1370,27
0.01,0.01,0.95,3,0,0,0.669,3,40,0.037,48,75,2865,151,94,62,156,1414,6
0.01,0.01,0.95,3,0,0,0.59,0,0,0.017,67,73,3573,219,90,80,170,1429,40
0.01,0.01,0.95,3,0,0,0.743,0,0,0.014,47,76,2982,127,107,66,173,1454,26
0.01,0.01,0.95,3,0,0,0.719,0,0,0.025,58,62,2839,346,81,100,181,1467,16
0.01,0.01,0.95,3,0,0,0.565,0,0,0.009,53,49,3225,244,94,61,155,1404,34
0.01,0.01,0.95,3,0,0,0.836,5,66,0.014,72,61,3016,430,99,64,163,1478,11
0.01,0.01,0.95,3,2,28,0.798,4,55,0.014,58,66,2681,342,115,43,158,1406,21
0.01,0.01,0.95,3,0,0,0.638,0,0,0.02,80,64,3040,342,41,126,167,1426,20
0.01,0.01,0.95,3,0,0,0.438,0,0,0.033,72,95,2863,278,117,80,197,1397,33
0.01,0.01,0.95,3,0,0,0.8,0,0,0.019,44,60,3155,230,86,60,146,1450,29
0.01,0.01,0.95,3,0,0,0.464,0,0,0.014,80,72,2984,209,45,139,184,1457,12
0.01,0.01,0.95,3,0,0,0.719,0,0,0.006,42,50,3669,210,60,73,133,1487,48
0.01,0.01,0.95,3,0,0,0.548,0,0,0.012,36,57,3261,75,87,70,157,1457,25
0.01,0.01,0.95,3,0,0,0.582,12,155,0.022,56,71,3333,200,91,79,170,1472,1
0.01,0.01,0.95,3,0,0,0.641,0,0,0.014,80,75,3457,359,94,84,178,1462,17
0.01,0.01,0.95,3,0,0,0.439,6,80,0.023,64,77,3196,297,88,88,176,1396,44
0.01,0.01,0.95,3,0,0,0.795,0,0,0.013,84,51,2812,296,121,49,170,1478,43
0.01,0.01,0.95,3,0,0,0.767,0,0,0.016,67,75,2608,252,91,70,161,1375,38
0.01,0.01,0.95,3,0,0,0.863,0,0,0.009,61,73,2624,577,80,95,175,1501,22
0.01,0.01,0.95,3,1,13,0.627,2,26,0.017,70,53,2705,305,72,93,165,1400,15
0.01,0.01,0.95,3,3,39,0.724,0,0,0.026,74,56,3451,300,79,91,170,1451,2
0.01,0.01,0.95,3,0,0,0.773,0,0,0.016,58,50,3297,213,83,75,158,1469,31
0.01,0.01,0.95,3,0,0,0.748,1,13,0.024,60,90,3413,306,98,79,177,1481,37
0.01,0.01,0.95,3,0,0,0.671,0,0,0.029,77,70,2459,307,75,84,159,1387,7
0.01,0.01,0.95,3,0,0,0.758,0,0,0.015,39,60,2823,160,66,75,141,1422,23
0.01,0.01,0.95,3,0,0,0.649,0,0,0.028,77,72,3253,270,93,73,166,1444,47
0.01,0.01,0.95,3,0,0,0.676,0,0,0.019,86,89,2994,285,107,114,221,1418,50
0.01,0.01,0.95,3,0,0,0.763,0,0,0.024,50,84,2148,346,90,90,180,1415,41
0.01,0.01,0.95,3,0,0,0.798,0,0,0.009,42,65,2546,280,70,80,150,1431,49
0.01,0.01,0.95,3,16,225,0.74,3,42,0.015,52,64,2670,233,107,55,162,1444,45
0.01,0.01,0.95,3,0,0,0.727,11,143,0.026,52,74,2344,205,44,119,163,1344,4
0.01,0.01,0.95,3,0,0,0.651,1,13,0.021,58,78,3237,260,76,107,183,1468,46
0.01,0.01,0.95,3,0,0,0.656,0,0,0.018,50,55,3034,242,76,77,153,1397,42
0.01,0.01,0.95,3,0,0,0.664,0,0,0.013,68,62,3162,231,115,77,192,1414,39
0.01,0.01,0.95,4,3,39,0.749,0,0,0.012,59,59,3344,216,104,65,169,1417,8
0.01,0.01,0.95,4,0,0,0.617,0,0,0.016,77,51,3026,273,102,75,177,1366,18
0.01,0.01,0.95,4,0,0,0.867,0,0,0.033,84,61,2380,312,110,56,166,1444,5
0.01,0.01,0.95,4,1,14,0.692,0,0,0.014,24,46,3245,73,88,59,147,1380,14
0.01,0.01,0.95,4,15,205,0.791,0,0,0.013,42,41,2627,417,55,85,140,1440,32
0.01,0.01,0.95,4,22,284,0.732,0,0,0.011,83,71,3345,292,84,87,171,1417,28
0.01,0.01,0.95,4,0,0,0.613,0,0,0.021,67,66,3521,235,112,61,173,1421,10
0.01,0.01,0.95,4,0,0,0.675,0,0,0.009,50,61,3444,219,111,52,163,1410,35
0.01,0.01,0.95,4,0,0,0.698,0,0,0.012,67,60,3337,266,149,44,193,1436,9
0.01,0.01,0.95,4,0,0,0.562,0,0,0.016,51,42,2713,214,84,66,150,1449,13
0.01,0.01,0.95,4,0,0,0.858,0,0,0.015,69,62,3737,286,89,75,164,1466,36
0.01,0.01,0.95,4,0,0,0.754,0,0,0.014,45,74,3846,251,59,103,162,1441,30
0.01,0.01,0.95,4,1,13,0.523,1,13,0.016,87,57,4142,248,89,85,174,1475,19
0.01,0.01,0.95,4,0,0,0.78,0,0,0.018,43,63,3353,244,72,86,158,1439,24
0.01,0.01,0.95,4,0,0,0.693,0,0,0.019,70,41,2738,266,77,84,161,1378,3
0.01,0.01,0.95,4,0,0,0.834,0,0,0.013,46,60,3095,227,116,51,167,1447,26
0.01,0.01,0.95,4,0,0,0.968,3,40,0.004,45,38,3005,196,83,70,153,1432,6
0.01,0.01,0.95,4,0,0,0.401,0,0,0.012,94,62,3474,214,75,98,173,1407,40
0.01,0.01,0.95,4,0,0,0.603,0,0,0.007,53,35,2570,161,87,57,144,1381,27
0.01,0.01,0.95,4,0,0,0.538,2,26,0.016,69,47,2961,187,77,103,180,1486,16
0.01,0.01,0.95,4,0,0,0.615,2,26,0.006,63,50,3348,358,98,54,152,1481,11
0.01,0.01,0.95,4,0,0,0.544,0,0,0.011,69,56,3242,239,102,58,160,1427,34
0.01,0.01,0.95,4,2,28,0.921,6,83,0.008,67,32,2645,667,106,50,156,1405,21
0.01,0.01,0.95,4,0,0,0.776,0,0,0.02,93,81,2875,378,43,130,173,1426,20
0.01,0.01,0.95,4,0,0,0.603,0,0,0.016,60,57,3078,223,46,131,177,1456,12
0.01,0.01,0.95,4,0,0,0.632,0,0,0.01,38,57,3520,198,91,53,144,1462,29
0.01,0.01,0.95,4,0,0,0.639,0,0,0.018,72,75,2968,287,107,74,181,1406,33
0.01,0.01,0.95,4,0,0,0.669,0,0,0.02,37,50,3593,216,59,56,115,1474,48
0.01,0.01,0.95,4,0,0,0.592,0,0,0.008,44,59,3439,190,99,57,156,1441,25
0.01,0.01,0.95,4,0,0,0.707,8,101,0.02,59,54,3446,285,91,76,167,1469,1
0.01,0.01,0.95,4,0,0,0.518,0,0,0.007,54,41,2962,308,98,65,163,1383,38
0.01,0.01,0.95,4,0,0,0.788,0,0,0.019,62,57,3121,254,118,44,162,1480,43
0.01,0.01,0.95,4,0,0,0.655,0,0,0.035,66,73,3495,306,105,68,173,1472,17
0.01,0.01,0.95,4,3,39,0.633,0,0,0.004,84,44,3818,294,81,84,165,1438,2
0.01,0.01,0.95,4,0,0,0.641,4,53,0.021,77,73,3370,235,89,98,187,1403,44
0.01,0.01,0.95,4,1,13,0.71,4,51,0.009,53,55,2987,229,75,89,164,1399,15
0.01,0.01,0.95,4,0,0,0.88,1,13,0.014,65,54,2929,574,75,85,160,1502,22
0.01,0.01,0.95,4,0,0,0.587,0,0,0.019,52,71,3457,272,79,69,148,1477,31
0.01,0.01,0.95,4,1,13,0.643,0,0,0.009,52,41,3765,260,92,81,173,1490,37
0.01,0.01,0.95,4,0,0,0.58,0,0,0.031,74,67,3128,264,70,94,164,1404,7
0.01,0.01,0.95,4,0,0,0.701,0,0,0.014,39,36,2672,210,72,60,132,1415,23
0.01,0.01,0.95,4,0,0,0.527,0,0,0.006,82,50,3460,229,101,75,176,1425,47
0.01,0.01,0.95,5,2,26,0.65,0,0,0.012,84,53,3180,282,108,65,173,1424,8
0.01,0.01,0.95,4,6,84,0.456,2,28,0.013,51,54,3249,162,88,58,146,1453,45
0.01,0.01,0.95,4,0,0,0.659,0,0,0.014,56,54,2755,219,63,83,146,1420,49
0.01,0.01,0.95,5,1,13,0.503,3,40,0.003,81,49,2862,255,100,79,179,1374,18
0.01,0.01,0.95,4,0,0,0.555,0,0,0.009,73,57,2930,319,107,103,210,1421,50
0.01,0.01,0.95,4,0,0,0.477,2,26,0.008,69,56,2671,168,42,116,158,1403,4
0.01,0.01,0.95,4,0,0,0.586,0,0,0.023,74,65,2402,261,92,78,170,1450,41
0.01,0.01,0.95,5,4,56,0.627,0,0,0.009,71,50,3438,237,91,47,138,1386,14
0.01,0.01,0.95,5,17,232,0.815,0,0,0.015,53,42,2962,314,61,91,152,1427,32
0.01,0.01,0.95,4,0,0,0.751,0,0,0.025,66,54,3316,282,77,97,174,1449,46
0.01,0.01,0.95,5,14,181,0.667,0,0,0.02,83,67,3442,286,89,86,175,1422,28
0.01,0.01,0.95,5,0,0,0.427,0,0,0.014,64,55,2459,429,117,47,164,1456,5
0.01,0.01,0.95,5,0,0,0.381,0,0,0.015,70,50,3734,183,113,61,174,1402,10
0.01,0.01,0.95,4,0,0,0.745,0,0,0.007,76,50,3840,228,118,65,183,1409,39
0.01,0.01,0.95,4,0,0,0.664,0,0,0.016,46,67,2875,203,75,81,156,1378,42
0.01,0.01,0.95,5,0,0,0.518,0,0,0.026,80,70,3067,269,92,59,151,1405,35
0.01,0.01,0.95,5,1,13,0.739,0,0,0.009,90,56,3247,375,154,42,196,1422,9
0.01,0.01,0.95,5,0,0,0.948,0,0,0.047,32,60,2776,255,65,71,136,1458,13
0.01,0.01,0.95,5,0,0,0.816,0,0,0.005,51,47,4074,174,90,75,165,1457,36
0.01,0.01,0.95,5,0,0,0.622,1,13,0.004,63,42,4428,211,90,86,176,1480,19
0.01,0.01,0.95,5,0,0,0.737,0,0,0.007,59,30,3873,222,58,101,159,1455,30
0.01,0.01,0.95,5,0,0,0.799,0,0,0.015,56,47,3024,209,71,94,165,1386,3
0.01,0.01,0.95,5,0,0,0.612,0,0,0.017,50,57,3479,183,79,78,157,1441,24
0.01,0.01,0.95,5,0,0,0.596,0,0,0.018,57,48,3204,296,120,44,164,1445,26
0.01,0.01,0.95,5,0,0,0.545,0,0,0.015,83,50,3810,220,69,98,167,1442,40
0.01,0.01,0.95,5,0,0,0.497,2,27,0.018,32,50,3328,90,75,74,149,1430,6
0.01,0.01,0.95,5,0,0,0.836,0,0,0.014,57,42,2626,264,85,49,134,1385,27
0.01,0.01,0.95,5,0,0,0.759,3,40,0.011,42,72,3437,220,115,44,159,1480,11
0.01,0.01,0.95,5,2,28,0.419,6,83,0.004,59,33,3082,409,98,50,148,1411,21
0.01,0.01,0.95,5,0,0,0.6,0,0,0.007,62,59,3438,291,112,47,159,1410,34
0.01,0.01,0.95,5,0,0,0.54,0,0,0.009,79,45,2782,268,69,110,179,1492,16
