d-d-t,r-r-t,decay-factor,Year,HumanAnnualDLCases,HumanAnnualDogSerovarInc/10K,prop-rc-dscases,HumanAnnualRLCases,HumanAnnualRodentSerovarInc/10K,prop-dc-rscases,DogAnnualDLCases,DogAnnualRLCases,RodentAnnualRLCases,RodentAnnualDLCases,averageannODN,averageannSDN,averageDN,averageannRN,iteration
0.01,0.0085,0.95,3,0,0,0.525,0,0,0.013,45,54,2544,175,72,98,170,1431,13
0.01,0.0085,0.95,3,9,119,0.527,0,0,0.01,68,55,2372,302,79,78,157,1400,28
0.01,0.0085,0.95,3,0,0,0.882,0,0,0.008,41,48,2325,187,67,62,129,1386,14
0.01,0.0085,0.95,3,2,27,0.862,8,108,0.021,32,53,3099,163,85,82,167,1405,21
0.01,0.0085,0.95,3,0,0,0.512,9,127,0.029,37,58,2435,206,73,90,163,1411,4
0.01,0.0085,0.95,3,0,0,0.607,0,0,0.01,56,54,2478,178,68,87,155,1424,6
0.01,0.0085,0.95,3,0,0,0.707,0,0,0.01,26,58,2773,81,82,79,161,1366,27
0.01,0.0085,0.95,3,0,0,0.587,0,0,0.014,73,83,2671,252,93,106,199,1439,10
0.01,0.0085,0.95,3,0,0,0.642,0,0,0.044,55,74,2100,212,83,88,171,1461,17
0.01,0.0085,0.95,3,0,0,0.76,0,0,0.021,30,67,2628,175,93,78,171,1428,24
0.01,0.0085,0.95,4,0,0,0.556,0,0,0.018,55,50,2522,188,75,106,181,1407,13
0.01,0.0085,0.95,3,0,0,0.508,0,0,0.018,50,59,2541,154,62,85,147,1418,23
0.01,0.0085,0.95,3,0,0,0.639,0,0,0.018,45,73,3489,190,97,78,175,1535,22
0.01,0.0085,0.95,4,10,132,0.737,0,0,0.025,44,62,2634,184,69,82,151,1402,28
0.01,0.0085,0.95,4,0,0,0.799,0,0,0.008,29,47,2686,121,71,51,122,1375,14
0.01,0.0085,0.95,3,0,0,0.556,0,0,0.014,38,56,2178,144,102,60,162,1368,18
0.01,0.0085,0.95,3,1,13,0.683,2,26,0.016,36,51,1853,241,120,57,177,1378,15
0.01,0.0085,0.95,4,5,68,0.468,7,95,0.024,57,56,3504,124,90,76,166,1415,21
0.01,0.0085,0.95,3,0,0,0.574,0,0,0.01,53,37,2637,145,64,98,162,1452,12
