d-d-t,r-r-t,decay-factor,Year,HumanAnnualDLCases,HumanAnnualDogSerovarInc/10K,prop-rc-dscases,HumanAnnualRLCases,HumanAnnualRodentSerovarInc/10K,prop-dc-rscases,DogAnnualDLCases,DogAnnualRLCases,RodentAnnualRLCases,RodentAnnualDLCases,averageannODN,averageannSDN,averageDN,averageannRN,iteration
0.0115,0.01,0.95,3,0,0,0.384,0,0,0.014,9,41,3045,41,63,74,137,1448,8
0.0115,0.01,0.95,3,0,0,0.993,9,121,0.004,19,42,2797,196,86,82,168,1419,21
0.0115,0.01,0.95,3,0,0,0.944,2,27,0.008,8,20,2981,55,40,67,107,1404,15
0.0115,0.01,0.95,3,3,41,0.827,0,0,0.013,12,43,2640,120,99,88,187,1431,28
0.0115,0.01,0.95,3,0,0,0.63,0,0,0.002,42,40,2919,186,93,77,170,1426,35
0.0115,0.01,0.95,3,1,12,0.844,0,0,0.022,26,57,2689,164,62,78,140,1442,19
0.0115,0.01,0.95,3,0,0,0.938,0,0,0.013,7,48,2402,145,84,75,159,1421,13
0.0115,0.01,0.95,3,0,0,0.981,0,0,0.012,33,40,3235,167,87,79,166,1451,14
0.0115,0.01,0.95,3,0,0,0.826,0,0,0.002,15,52,3779,82,86,74,160,1436,43
0.0115,0.01,0.95,3,0,0,0.51,0,0,0.012,44,65,2625,164,90,70,160,1428,41
0.0115,0.01,0.95,3,0,0,1,0,0,0.013,19,62,3955,132,102,74,176,1472,29
0.0115,0.01,0.95,3,0,0,0.781,0,0,0.013,24,56,2824,125,98,88,186,1427,16
0.0115,0.01,0.95,3,0,0,0.371,0,0,0.011,50,69,3847,186,86,76,162,1472,3
0.0115,0.01,0.95,3,0,0,0.61,0,0,0.006,1,35,1500,26,73,76,149,1338,24
0.0115,0.01,0.95,3,0,0,0.914,0,0,0.006,9,49,3361,173,83,86,169,1436,25
0.0115,0.01,0.95,3,0,0,0.919,0,0,0.009,18,29,3095,161,46,79,125,1444,31
0.0115,0.01,0.95,3,0,0,0.971,9,119,0.019,29,55,2067,241,83,88,171,1440,4
0.0115,0.01,0.95,3,0,0,1,0,0,0.01,5,24,2713,102,34,88,122,1437,10
0.0115,0.01,0.95,3,0,0,0.874,0,0,0.032,12,63,2840,129,77,79,156,1444,20
0.0115,0.01,0.95,3,0,0,0.705,0,0,0.006,54,46,3379,231,95,83,178,1489,7
0.0115,0.01,0.95,3,0,0,0.641,0,0,0.013,30,52,3036,110,75,89,164,1417,33
0.0115,0.01,0.95,3,0,0,0.843,0,0,0.013,18,30,3482,152,53,78,131,1497,23
0.0115,0.01,0.95,3,0,0,1,0,0,0.015,5,39,1994,130,57,75,132,1439,37
0.0115,0.01,0.95,3,0,0,0.991,0,0,0.015,15,32,2975,92,72,81,153,1444,6
0.0115,0.01,0.95,3,0,0,0.65,0,0,0.012,19,33,2130,206,44,86,130,1407,9
0.0115,0.01,0.95,3,0,0,0.724,0,0,0.005,20,49,3353,119,93,82,175,1425,46
0.0115,0.01,0.95,3,0,0,0.565,0,0,0.012,51,38,3487,144,71,97,168,1455,22
0.0115,0.01,0.95,3,0,0,0.869,1,13,0.011,49,53,2669,226,108,80,188,1409,18
0.0115,0.01,0.95,3,0,0,1,0,0,0.013,2,57,3487,19,70,74,144,1395,5
0.0115,0.01,0.95,3,0,0,0.571,0,0,0.017,64,61,3374,275,124,92,216,1448,34
0.0115,0.01,0.95,3,0,0,1,0,0,0.003,3,22,2575,130,53,80,133,1411,40
0.0115,0.01,0.95,3,0,0,0.79,0,0,0.008,34,55,2739,190,96,86,182,1397,27
0.0115,0.01,0.95,3,0,0,0.774,0,0,0.006,17,40,3464,85,62,87,149,1455,50
0.0115,0.01,0.95,3,0,0,0.804,0,0,0.025,6,43,2252,50,57,94,151,1481,2
0.0115,0.01,0.95,3,0,0,0.802,1,13,0.005,46,78,2484,182,136,92,228,1422,11
0.0115,0.01,0.95,3,0,0,0.812,0,0,0.005,53,20,2758,223,99,84,183,1477,36
0.0115,0.01,0.95,3,0,0,0.905,0,0,0.02,18,42,2475,134,90,79,169,1412,39
0.0115,0.01,0.95,3,0,0,0.841,5,65,0.008,28,51,3161,244,88,93,181,1471,44
0.0115,0.01,0.95,3,0,0,0.425,7,97,0.011,32,63,2916,174,105,95,200,1413,1
0.0115,0.01,0.95,3,0,0,0.7,0,0,0.005,14,34,2345,143,84,77,161,1442,38
0.0115,0.01,0.95,3,0,0,0.796,0,0,0.015,17,48,3367,112,82,76,158,1531,48
0.0115,0.01,0.95,3,0,0,0.847,0,0,0.004,35,50,3082,193,101,73,174,1458,12
0.0115,0.01,0.95,3,0,0,1,0,0,0.018,2,51,2297,59,58,95,153,1412,17
0.0115,0.01,0.95,3,0,0,0.889,0,0,0.001,47,36,2624,214,49,87,136,1421,47
0.0115,0.01,0.95,3,9,120,0.538,0,0,0.011,55,34,2388,160,132,89,221,1436,32
0.0115,0.01,0.95,3,0,0,0.853,0,0,0.018,37,62,3428,156,91,88,179,1434,42
0.0115,0.01,0.95,3,0,0,0.998,0,0,0.018,11,39,3029,96,68,84,152,1410,26
0.0115,0.01,0.95,4,0,0,1,0,0,0.002,3,22,3306,37,54,71,125,1426,8
0.0115,0.01,0.95,3,0,0,0.975,0,0,0.009,37,48,2241,152,112,81,193,1414,30
0.0115,0.01,0.95,4,2,27,0.993,5,68,0.018,13,55,3148,49,90,83,173,1421,21
0.0115,0.01,0.95,4,5,69,0.775,0,0,0.009,20,40,2742,274,89,87,176,1422,28
0.0115,0.01,0.95,4,0,0,1,0,0,0.023,0,39,2648,10,36,57,93,1407,15
0.0115,0.01,0.95,4,0,0,0.718,0,0,0.012,23,41,3069,168,96,70,166,1410,35
0.0115,0.01,0.95,4,0,0,0.684,0,0,0.011,28,27,3111,141,36,90,126,1425,19
0.0115,0.01,0.95,4,1,14,0.673,0,0,0.013,28,53,3437,160,81,78,159,1445,14
0.0115,0.01,0.95,4,0,0,1,0,0,0.016,2,45,2566,36,73,74,147,1413,13
0.0115,0.01,0.95,4,0,0,0.467,0,0,0.003,41,35,3966,117,82,77,159,1487,3
0.0115,0.01,0.95,4,0,0,0.6,0,0,0.006,19,19,3712,81,79,78,157,1434,43
0.0115,0.01,0.95,4,0,0,0.88,0,0,0.012,25,26,2395,213,86,60,146,1419,41
