d-d-t,r-r-t,decay-factor,Year,HumanAnnualDLCases,HumanAnnualDogSerovarInc/10K,prop-rc-dscases,HumanAnnualRLCases,HumanAnnualRodentSerovarInc/10K,prop-dc-rscases,DogAnnualDLCases,DogAnnualRLCases,RodentAnnualRLCases,RodentAnnualDLCases,averageannODN,averageannSDN,averageDN,averageannRN,iteration
0.0085,0.01,0.95,3,0,0,0.583,0,0,0.013,43,45,3047,158,99,56,155,1425,8
0.0085,0.01,0.95,3,0,0,0.811,0,0,0.012,59,55,3040,330,81,95,176,1406,10
0.0085,0.01,0.95,3,0,0,0.799,0,0,0.01,32,39,3761,122,71,98,169,1465,19
0.0085,0.01,0.95,3,1,14,0.714,1,14,0.014,30,57,2576,183,68,94,162,1389,14
0.0085,0.01,0.95,3,0,0,0.789,1,13,0.025,76,59,2745,405,67,111,178,1335,18
0.0085,0.01,0.95,3,0,0,0.576,2,26,0.005,68,43,3617,189,105,77,182,1490,11
0.0085,0.01,0.95,3,0,0,0.795,0,0,0.009,56,43,2835,245,106,83,189,1446,5
0.0085,0.01,0.95,3,0,0,0.604,0,0,0.029,44,49,2261,182,78,93,171,1413,3
0.0085,0.01,0.95,3,0,0,0.636,0,0,0.018,35,63,3102,159,110,71,181,1415,23
0.0085,0.01,0.95,3,0,0,0.851,0,0,0.02,42,75,3062,124,81,77,158,1446,26
0.0085,0.01,0.95,3,0,0,0.752,0,0,0.02,42,52,2926,185,60,76,136,1423,6
0.0085,0.01,0.95,3,15,195,0.536,0,0,0.006,60,65,3026,226,76,89,165,1419,28
0.0085,0.01,0.95,3,0,0,0.717,0,0,0.013,60,61,2786,274,129,54,183,1477,16
0.0085,0.01,0.95,3,3,39,0.688,5,65,0.019,51,69,3027,206,129,46,175,1415,21
0.0085,0.01,0.95,3,0,0,0.663,0,0,0.034,50,59,2427,236,81,78,159,1411,7
0.0085,0.01,0.95,3,0,0,0.527,0,0,0.013,55,61,2994,251,64,104,168,1446,12
0.0085,0.01,0.95,3,0,0,0.634,6,77,0.013,67,48,3689,194,78,99,177,1461,1
0.0085,0.01,0.95,3,0,0,0.687,9,119,0.004,37,55,2018,143,91,67,158,1371,4
0.0085,0.01,0.95,3,0,0,0.654,0,0,0.029,74,78,2811,373,71,104,175,1492,22
0.0085,0.01,0.95,3,0,0,0.719,0,0,0.024,35,57,2607,211,68,79,147,1373,27
0.0085,0.01,0.95,3,0,0,0.252,0,0,0.02,65,80,3319,153,94,77,171,1433,24
0.0085,0.01,0.95,3,0,0,0.834,0,0,0.006,58,62,3894,228,81,98,179,1445,17
0.0085,0.01,0.95,3,0,0,0.898,0,0,0.023,32,65,2518,381,110,62,172,1424,13
0.0085,0.01,0.95,3,0,0,0.367,0,0,0.004,80,44,2634,467,82,91,173,1418,20
0.0085,0.01,0.95,3,3,41,0.636,0,0,0.011,54,43,3046,172,63,90,153,1438,2
0.0085,0.01,0.95,3,0,0,1,1,13,0.019,4,67,2995,38,58,61,119,1395,15
0.0085,0.01,0.95,3,0,0,0.729,0,0,0.01,27,44,2612,109,65,70,135,1457,25
0.0085,0.01,0.95,3,0,0,0.767,0,0,0.02,50,58,2700,232,136,59,195,1429,9
