d-d-t,r-r-t,decay-factor,Year,HumanAnnualDLCases,HumanAnnualDogSerovarInc/10K,prop-rc-dscases,HumanAnnualRLCases,HumanAnnualRodentSerovarInc/10K,prop-dc-rscases,DogAnnualDLCases,DogAnnualRLCases,RodentAnnualRLCases,RodentAnnualDLCases,averageannODN,averageannSDN,averageDN,averageannRN,iteration
0.01,0.0115,0.95,3,0,0,0.687,0,0,0.012,51,58,3561,272,92,93,185,1451,12
0.01,0.0115,0.95,3,0,0,0.596,0,0,0.009,60,36,3399,158,61,77,138,1435,2
0.01,0.0115,0.95,3,0,0,0.676,9,119,0.018,61,56,2789,267,73,99,172,1396,4
0.01,0.0115,0.95,3,0,0,0.693,1,14,0.013,52,60,2986,128,101,93,194,1401,3
0.01,0.0115,0.95,3,1,13,0.644,0,0,0.016,36,58,2752,168,77,77,154,1424,8
0.01,0.0115,0.95,3,0,0,0.846,0,0,0.023,39,57,3481,223,82,69,151,1452,5
0.01,0.0115,0.95,3,0,0,0.469,0,0,0.009,81,45,2974,235,104,71,175,1394,7
0.01,0.0115,0.95,3,0,0,0.799,0,0,0.013,58,56,3416,304,81,82,163,1384,14
0.01,0.0115,0.95,3,0,0,0.751,0,0,0.006,61,45,2117,395,77,71,148,1423,13
0.01,0.0115,0.95,3,0,0,0.69,0,0,0.021,45,48,2466,233,92,76,168,1363,18
0.01,0.0115,0.95,3,0,0,0.574,1,13,0.013,44,60,3524,216,105,61,166,1484,11
0.01,0.0115,0.95,3,0,0,0.572,0,0,0.016,100,49,3310,276,80,85,165,1446,9
0.01,0.0115,0.95,3,0,0,0.585,0,0,0.014,58,60,2452,190,78,98,176,1412,10
0.01,0.0115,0.95,3,0,0,0.839,0,0,0.023,46,62,3138,371,75,91,166,1455,17
0.01,0.0115,0.95,3,0,0,0.952,0,0,0.006,19,58,3733,218,92,57,149,1474,16
0.01,0.0115,0.95,4,0,0,0.565,0,0,0.014,73,48,3567,206,98,84,182,1448,12
0.01,0.0115,0.95,3,0,0,0.847,0,0,0.019,38,62,2759,172,67,84,151,1430,6
0.01,0.0115,0.95,3,0,0,0.531,4,52,0.019,69,50,2777,178,70,104,174,1391,15
0.01,0.0115,0.95,3,0,0,0.761,7,100,0.016,33,51,2891,149,84,73,157,1451,1
0.01,0.0115,0.95,4,3,40,0.697,0,0,0.011,49,39,3154,232,60,88,148,1443,2
0.01,0.0115,0.95,4,0,0,0.5,7,92,0.011,70,49,2928,218,70,98,168,1408,4
0.01,0.0115,0.95,4,0,0,0.788,1,14,0.018,35,47,2931,145,94,86,180,1362,3
0.01,0.0115,0.95,4,0,0,0.908,0,0,0.019,59,55,3339,436,84,68,152,1450,5
0.01,0.0115,0.95,4,0,0,0.383,0,0,0.018,62,46,3055,141,74,78,152,1422,8
0.01,0.0115,0.95,4,0,0,0.751,0,0,0.013,36,56,3284,303,81,71,152,1378,14
0.01,0.0115,0.95,4,0,0,0.416,0,0,0.016,107,54,3107,310,113,66,179,1414,7
0.01,0.0115,0.95,4,0,0,0.686,0,0,0.012,45,43,2458,401,73,67,140,1420,13
0.01,0.0115,0.95,4,0,0,0.26,0,0,0.027,75,65,2587,214,91,75,166,1371,18
0.01,0.0115,0.95,4,0,0,0.411,0,0,0.006,34,45,3574,139,108,61,169,1477,11
0.01,0.0115,0.95,5,0,0,0.715,0,0,0.009,64,43,3682,311,96,79,175,1446,12
0.01,0.0115,0.95,4,0,0,0.568,0,0,0.013,77,53,3654,236,80,89,169,1445,9
0.01,0.0115,0.95,4,0,0,0.753,0,0,0.002,36,34,3831,190,105,43,148,1476,16
0.01,0.0115,0.95,4,0,0,0.861,0,0,0.019,72,52,3131,346,70,95,165,1471,17
0.01,0.0115,0.95,4,0,0,0.471,0,0,0.017,101,51,2506,294,79,94,173,1408,10
0.01,0.0115,0.95,5,1,13,0.983,0,0,0.016,36,37,3307,314,51,91,142,1436,2
0.01,0.0115,0.95,5,1,13,0.781,3,40,0.016,60,44,2684,268,69,97,166,1436,4
0.01,0.0115,0.95,4,0,0,0.699,0,0,0.006,50,38,3150,149,66,82,148,1433,6
0.01,0.0115,0.95,5,0,0,0.588,0,0,0.006,70,46,3179,186,93,86,179,1362,3
0.01,0.0115,0.95,4,0,0,0.577,1,13,0.025,46,56,2710,128,61,108,169,1389,15
0.01,0.0115,0.95,5,0,0,0.666,0,0,0.016,34,58,4165,241,90,55,145,1446,5
0.01,0.0115,0.95,4,0,0,0.729,1,14,0.014,59,34,3232,242,86,68,154,1456,1
0.01,0.0115,0.95,5,0,0,0.444,0,0,0.008,52,37,3025,131,71,77,148,1444,8
0.01,0.0115,0.95,5,1,14,0.451,0,0,0.016,61,42,3500,218,82,77,159,1376,14
0.01,0.0115,0.95,5,0,0,0.545,0,0,0.018,80,60,3097,231,113,65,178,1396,7
0.01,0.0115,0.95,5,0,0,0.972,0,0,0.005,42,38,2936,284,74,53,127,1400,13
0.01,0.0115,0.95,6,0,0,0.524,2,26,0.003,88,54,4123,208,96,84,180,1454,12
0.01,0.0115,0.95,5,0,0,0.574,0,0,0.017,66,46,3016,238,91,75,166,1364,18
0.01,0.0115,0.95,5,0,0,0.609,0,0,0.021,45,66,3678,189,105,60,165,1480,11
0.01,0.0115,0.95,5,0,0,0.598,0,0,0.029,61,70,3610,217,80,86,166,1445,9
0.01,0.0115,0.95,5,0,0,0.589,0,0,0.01,36,39,3587,210,108,39,147,1474,16
0.01,0.0115,0.95,6,1,13,0.845,0,0,0.016,37,61,3586,264,52,91,143,1445,2
0.01,0.0115,0.95,5,0,0,0.894,0,0,0.022,71,48,3375,441,69,95,164,1473,17
0.01,0.0115,0.95,5,0,0,0.905,0,0,0.021,33,59,2800,281,85,89,174,1417,10
0.01,0.0115,0.95,6,0,0,0.571,7,93,0.015,47,38,3159,147,69,101,170,1393,4
0.01,0.0115,0.95,6,0,0,0.531,0,0,0.013,110,50,3591,203,90,85,175,1380,3
0.01,0.0115,0.95,6,0,0,0.758,0,0,0.013,45,54,4106,203,93,57,150,1444,5
0.01,0.0115,0.95,7,0,0,0.433,0,0,0.014,75,45,3958,186,83,81,164,1455,12
0.01,0.0115,0.95,6,0,0,0.47,1,13,0.011,94,39,2969,192,71,85,156,1423,8
0.01,0.0115,0.95,5,0,0,0.832,1,13,0.01,22,43,2853,113,64,85,149,1431,6
0.01,0.0115,0.95,6,0,0,0.743,0,0,0.023,48,58,3217,193,98,64,162,1398,7
0.01,0.0115,0.95,6,1,14,0.636,0,0,0.008,61,59,3775,226,84,77,161,1390,14
0.01,0.0115,0.95,6,0,0,0.476,0,0,0.003,27,28,3471,119,71,50,121,1413,13
0.01,0.0115,0.95,5,0,0,0.525,2,26,0.01,46,32,2833,178,57,112,169,1400,15
0.01,0.0115,0.95,5,0,0,0.555,4,57,0.005,58,47,3646,141,85,76,161,1449,1
0.01,0.0115,0.95,6,0,0,0.798,0,0,0.033,73,63,3170,229,95,74,169,1362,18
0.01,0.0115,0.95,6,0,0,0.73,3,40,0.006,35,44,3611,275,106,58,164,1476,11
0.01,0.0115,0.95,7,5,66,0.599,0,0,0.008,45,30,4122,314,49,91,140,1445,2
0.01,0.0115,0.95,6,0,0,0.957,0,0,0.01,47,61,3378,297,81,88,169,1440,9
0.01,0.0115,0.95,7,0,0,0.374,3,40,0.014,83,44,2991,178,62,110,172,1392,4
0.01,0.0115,0.95,7,0,0,0.766,0,0,0.013,53,60,3425,276,88,83,171,1371,3
0.01,0.0115,0.95,6,0,0,0.591,0,0,0.008,44,52,3872,158,107,42,149,1482,16
0.01,0.0115,0.95,6,0,0,0.635,0,0,0.024,62,59,3838,272,69,98,167,1464,17
0.01,0.0115,0.95,7,0,0,0.343,0,0,0.013,74,51,4065,246,86,66,152,1446,5
0.01,0.0115,0.95,6,0,0,0.661,0,0,0.005,45,64,3084,223,86,87,173,1414,10
0.01,0.0115,0.95,7,0,0,0.663,0,0,0.014,56,46,3119,240,73,80,153,1440,8
0.01,0.0115,0.95,7,0,0,0.629,0,0,0.008,55,35,3315,193,74,49,123,1435,13
0.01,0.0115,0.95,7,4,54,0.71,1,14,0.02,50,67,3714,163,87,74,161,1389,14
0.01,0.0115,0.95,7,0,0,0.698,0,0,0.015,69,63,3230,189,98,80,178,1393,7
0.01,0.0115,0.95,7,0,0,0.587,0,0,0.007,46,51,3026,246,86,76,162,1381,18
0.01,0.0115,0.95,6,0,0,0.622,4,58,0.015,53,46,4038,145,80,72,152,1466,1
0.01,0.0115,0.95,6,0,0,0.101,0,0,0.01,36,24,2344,78,63,81,144,1406,6
0.01,0.0115,0.95,6,1,13,0.699,2,26,0.029,51,55,3073,232,60,115,175,1389,15
0.01,0.0115,0.95,7,0,0,0.64,4,54,0.019,67,56,3609,222,111,56,167,1482,11
0.01,0.0115,0.95,7,0,0,0.697,0,0,0.009,92,61,3230,248,83,86,169,1442,9
0.01,0.0115,0.95,7,0,0,0.442,0,0,0.014,53,47,3498,156,102,48,150,1482,16
0.01,0.0115,0.95,7,0,0,0.891,0,0,0.026,64,60,3399,381,64,104,168,1466,17
0.01,0.0115,0.95,7,0,0,0.458,0,0,0.012,84,48,3292,200,80,85,165,1418,10
0.01,0.0115,0.95,7,0,0,0.764,3,44,0.007,46,39,3934,184,74,86,160,1460,1
0.01,0.0115,0.95,7,0,0,0.513,0,0,0.016,23,60,3157,52,51,114,165,1381,15
0.01,0.0115,0.95,3,0,0,1,0,0,0.012,5,64,3394,39,84,73,157,1484,19
0.01,0.0115,0.95,7,0,0,0.552,0,0,0.027,56,28,2448,161,67,74,141,1441,6
0.01,0.0115,0.95,3,0,0,0.623,0,0,0.004,71,61,3232,421,121,55,176,1415,20
0.01,0.0115,0.95,3,3,41,0.685,7,95,0.014,73,58,2705,284,70,103,173,1396,21
0.01,0.0115,0.95,4,2,25,0.103,0,0,0.004,15,54,3842,10,76,77,153,1479,19
0.01,0.0115,0.95,3,0,0,0.672,1,14,0.013,63,83,3323,273,121,67,188,1520,22
0.01,0.0115,0.95,3,0,0,0.725,0,0,0.018,44,72,2895,241,87,81,168,1442,24
0.01,0.0115,0.95,3,0,0,0.584,0,0,0.013,16,33,3715,109,61,55,116,1417,23
0.01,0.0115,0.95,4,0,0,0.462,0,0,0.013,71,58,3693,185,128,55,183,1417,20
0.01,0.0115,0.95,4,5,68,0.596,7,95,0.047,68,85,2965,274,78,97,175,1401,21
0.01,0.0115,0.95,3,0,0,0.965,0,0,0.004,32,58,2983,80,82,72,154,1373,27
0.01,0.0115,0.95,3,0,0,0.843,0,0,0.015,28,45,2533,402,64,63,127,1486,25
0.01,0.0115,0.95,5,1,13,0.171,1,13,0.002,30,42,3766,33,79,80,159,1486,19
0.01,0.0115,0.95,3,16,214,0.807,0,0,0.013,53,45,3656,248,57,87,144,1426,28
0.01,0.0115,0.95,3,0,0,0.719,0,0,0.017,68,62,2905,505,103,71,174,1450,26
0.01,0.0115,0.95,4,0,0,0.741,0,0,0.005,62,28,3697,181,121,60,181,1496,22
0.01,0.0115,0.95,3,3,40,0.298,0,0,0.011,78,46,3415,167,102,59,161,1467,29
0.01,0.0115,0.95,4,0,0,0.863,0,0,0.014,24,47,3135,296,91,73,164,1438,24
0.01,0.0115,0.95,5,0,0,0.57,0,0,0.019,82,55,3454,225,133,50,183,1399,20
0.01,0.0115,0.95,5,4,55,0.724,12,164,0.018,58,57,2936,223,85,90,175,1394,21
0.01,0.0115,0.95,4,0,0,0.626,0,0,0.009,33,35,3686,112,72,51,123,1387,23
0.01,0.0115,0.95,3,0,0,0.712,0,0,0.015,63,84,3614,195,120,90,210,1426,30
0.01,0.0115,0.95,3,12,154,0.739,0,0,0.018,35,64,3244,149,86,79,165,1428,32
0.01,0.0115,0.95,6,0,0,0.72,0,0,0.012,26,35,3627,93,82,77,159,1469,19
0.01,0.0115,0.95,4,0,0,0.439,0,0,0.012,17,36,2834,166,87,61,148,1386,27
0.01,0.0115,0.95,3,0,0,0.582,0,0,0.01,63,67,3218,200,100,65,165,1465,31
0.01,0.0115,0.95,4,0,0,0.969,0,0,0.009,6,38,3111,154,75,55,130,1472,25
0.01,0.0115,0.95,4,7,93,0.995,0,0,0.008,31,51,3970,143,66,89,155,1408,28
0.01,0.0115,0.95,3,0,0,0.534,0,0,0.017,87,58,2430,176,61,98,159,1377,33
0.01,0.0115,0.95,5,0,0,0.728,0,0,0.017,82,69,3773,251,118,62,180,1525,22
0.01,0.0115,0.95,4,0,0,0.583,0,0,0.01,53,40,3371,237,115,58,173,1450,26
0.01,0.0115,0.95,5,0,0,0.572,0,0,0.014,30,50,3667,85,87,63,150,1420,24
0.01,0.0115,0.95,6,4,55,0.726,6,82,0.025,65,48,2889,202,85,84,169,1407,21
0.01,0.0115,0.95,6,0,0,0.777,0,0,0.014,39,51,3435,220,132,47,179,1428,20
0.01,0.0115,0.95,4,0,0,0.618,0,0,0.004,85,45,3312,233,101,56,157,1470,29
