d-d-t,r-r-t,decay-factor,Year,HumanAnnualDLCases,HumanAnnualDogSerovarInc/10K,prop-rc-dscases,HumanAnnualRLCases,HumanAnnualRodentSerovarInc/10K,prop-dc-rscases,DogAnnualDLCases,DogAnnualRLCases,RodentAnnualRLCases,RodentAnnualDLCases,averageannODN,averageannSDN,averageDN,averageannRN,iteration
0.01,0.01,0.95,7,0,0,1,0,0,0.01,0,53,3227,2,83,77,160,1458,1
0.01,0.01,0.95,6,0,0,1,1,13,0.007,2,35,3206,19,83,77,160,1472,1
0.01,0.01,0.95,4,0,0,0.963,6,79,0.011,4,44,3291,33,107,69,176,1461,1
0.01,0.01,0.95,3,0,0,0.639,9,118,0.02,6,49,3125,118,110,75,185,1458,1
0.01,0.01,0.95,5,0,0,0.62,4,52,0.011,9,30,3027,32,89,78,167,1465,1
0.01,0.01,0.95,3,1,13,0.561,0,0,0.015,22,62,2969,125,95,64,159,1438,2
0.01,0.01,0.95,4,0,0,0.468,0,0,0.009,25,40,3354,101,87,71,158,1440,2
0.01,0.01,0.95,5,0,0,0.586,0,0,0.014,25,62,3445,72,87,72,159,1435,2
0.01,0.01,0.95,6,1,13,0.519,0,0,0.009,28,41,3571,65,66,81,147,1453,2
0.01,0.01,0.95,7,2,27,0.411,0,0,0.008,45,44,2958,108,50,99,149,1443,2
0.01,0.01,0.95,7,0,0,0.777,0,0,0.018,6,49,2842,127,109,52,161,1408,3
0.01,0.01,0.95,4,0,0,0.609,0,0,0.004,11,29,2867,130,104,57,161,1406,3
0.01,0.01,0.95,3,0,0,0.79,0,0,0.008,15,40,2471,130,104,59,163,1409,3
0.01,0.01,0.95,5,0,0,0.694,0,0,0.01,35,42,2692,166,107,57,164,1417,3
0.01,0.01,0.95,6,0,0,0.611,1,14,0.014,37,46,2503,205,117,56,173,1394,3
0.01,0.01,0.95,4,0,0,0.685,2,29,0.011,5,42,3132,57,61,86,147,1423,4
0.01,0.01,0.95,7,0,0,0.953,3,44,0.012,10,47,2684,75,37,129,166,1389,4
0.01,0.01,0.95,3,0,0,0.491,3,42,0.009,15,53,3192,140,82,78,160,1424,4
0.01,0.01,0.95,5,0,0,0.492,5,73,0.035,18,56,2952,48,42,105,147,1415,4
0.01,0.01,0.95,6,0,0,0.705,2,29,0.02,26,36,3032,85,39,119,158,1417,4
0.01,0.01,0.95,6,0,0,0.782,0,0,0.018,13,45,3506,261,102,79,181,1420,5
0.01,0.01,0.95,7,0,0,0.645,0,0,0.007,14,34,3463,78,109,75,184,1431,5
0.01,0.01,0.95,5,0,0,0.692,0,0,0.015,22,70,3351,208,101,95,196,1435,5
0.01,0.01,0.95,3,0,0,0.741,0,0,0.007,23,59,3566,118,99,98,197,1426,5
0.01,0.01,0.95,4,0,0,0.632,0,0,0.023,25,82,3555,86,98,112,210,1452,5
0.01,0.01,0.95,7,0,0,0,0,0,0.015,0,52,3507,2,55,92,147,1430,6
0.01,0.01,0.95,6,0,0,0.997,0,0,0.016,2,59,3396,33,56,93,149,1408,6
0.01,0.01,0.95,5,0,0,0.513,0,0,0.014,3,53,3294,34,62,89,151,1418,6
0.01,0.01,0.95,3,0,0,0.998,0,0,0.004,10,54,3180,99,68,96,164,1444,6
0.01,0.01,0.95,4,0,0,0.912,0,0,0.01,19,41,3532,87,67,94,161,1424,6
0.01,0.01,0.95,6,0,0,0.801,0,0,0.014,6,42,3329,317,59,88,147,1415,7
0.01,0.01,0.95,7,0,0,0.698,0,0,0.022,12,84,3838,119,48,97,145,1414,7
0.01,0.01,0.95,5,0,0,0.95,0,0,0.012,25,32,2831,360,68,81,149,1407,7
0.01,0.01,0.95,3,0,0,0.832,0,0,0.042,26,70,2589,187,78,89,167,1421,7
0.01,0.01,0.95,4,0,0,0.691,0,0,0.022,34,59,2711,367,77,82,159,1406,7
0.01,0.01,0.95,6,0,0,1,0,0,0.024,0,61,3161,16,91,87,178,1419,8
0.01,0.01,0.95,7,0,0,1,0,0,0.013,0,38,3039,30,87,83,170,1428,8
0.01,0.01,0.95,5,0,0,1,0,0,0.008,1,22,3441,49,77,94,171,1445,8
0.01,0.01,0.95,4,0,0,0.889,0,0,0.014,6,75,3425,47,78,98,176,1453,8
0.01,0.01,0.95,3,0,0,0.68,0,0,0.003,15,59,3318,91,82,99,181,1445,8
0.01,0.01,0.95,5,0,0,0.661,0,0,0.013,13,50,3444,60,111,88,199,1416,9
0.01,0.01,0.95,3,0,0,0.954,0,0,0.009,15,64,2383,107,119,107,226,1436,9
0.01,0.01,0.95,4,0,0,0.878,0,0,0.024,16,61,2886,79,112,97,209,1428,9
0.01,0.01,0.95,7,0,0,0.696,0,0,0.007,17,68,2969,59,120,104,224,1442,9
0.01,0.01,0.95,6,0,0,0.669,0,0,0.028,28,71,3329,119,118,95,213,1429,9
0.01,0.01,0.95,7,0,0,0.644,0,0,0.018,8,41,3081,92,116,42,158,1426,10
0.01,0.01,0.95,6,0,0,0.4,0,0,0.016,24,54,2892,113,114,47,161,1416,10
0.01,0.01,0.95,4,0,0,0.77,0,0,0.019,25,59,2801,142,93,69,162,1426,10
0.01,0.01,0.95,3,0,0,0.36,0,0,0.015,26,75,2544,136,87,94,181,1413,10
0.01,0.01,0.95,5,0,0,0.537,0,0,0.011,33,42,3091,128,108,58,166,1425,10
0.01,0.01,0.95,6,0,0,0.915,0,0,0.02,8,68,4240,105,73,82,155,1484,11
0.01,0.01,0.95,3,0,0,0.748,0,0,0.028,18,71,3392,113,59,108,167,1463,11
0.01,0.01,0.95,5,0,0,0.891,0,0,0.013,19,48,4262,99,70,81,151,1473,11
0.01,0.01,0.95,7,0,0,0.618,0,0,0.006,25,50,4074,87,74,76,150,1471,11
0.01,0.01,0.95,4,0,0,0.792,0,0,0.009,28,42,3820,202,60,95,155,1472,11
0.01,0.01,0.95,6,0,0,1,0,0,0.005,1,34,3801,52,53,112,165,1468,12
0.01,0.01,0.95,7,0,0,0.946,0,0,0.007,3,44,3864,25,46,117,163,1456,12
0.01,0.01,0.95,4,0,0,0.77,0,0,0.012,16,43,3671,78,66,103,169,1439,12
0.01,0.01,0.95,3,0,0,0.871,0,0,0.008,17,48,3326,150,88,80,168,1458,12
0.01,0.01,0.95,5,0,0,0.588,0,0,0.012,17,52,3840,60,57,109,166,1450,12
0.01,0.01,0.95,4,0,0,1,0,0,0.013,0,31,3040,5,82,62,144,1434,13
0.01,0.01,0.95,5,0,0,0,0,0,0.019,0,38,3032,0,69,75,144,1431,13
0.01,0.01,0.95,6,0,0,0,0,0,0.01,0,46,3339,0,66,86,152,1438,13
0.01,0.01,0.95,7,0,0,0,0,0,0.015,0,45,3611,0,55,89,144,1461,13
0.01,0.01,0.95,3,0,0,0.021,0,0,0.026,2,88,3166,17,92,75,167,1427,13
0.01,0.01,0.95,6,0,0,0,0,0,0.019,0,56,3118,0,63,107,170,1406,14
0.01,0.01,0.95,7,0,0,0,0,0,0.012,0,39,2921,0,60,104,164,1390,14
0.01,0.01,0.95,4,0,0,1,0,0,0.009,1,41,3352,7,73,86,159,1381,14
0.01,0.01,0.95,5,0,0,0.988,0,0,0.008,1,55,3518,2,60,98,158,1380,14
0.01,0.01,0.95,3,0,0,0.999,0,0,0.004,6,48,2987,91,80,80,160,1387,14
0.01,0.01,0.95,7,0,0,1,0,0,0.02,0,55,3220,5,100,52,152,1384,15
0.01,0.01,0.95,3,0,0,0.813,3,38,0.014,4,64,2832,65,110,69,179,1391,15
0.01,0.01,0.95,6,0,0,1,3,39,0.019,7,60,3020,25,120,45,165,1406,15
0.01,0.01,0.95,5,0,0,0.27,0,0,0.051,9,60,2463,74,124,54,178,1376,15
0.01,0.01,0.95,4,0,0,0.565,2,26,0.014,29,48,2676,161,110,57,167,1383,15
