d-d-t,r-r-t,decay-factor,Year,HumanAnnualDLCases,HumanAnnualDogSerovarInc/10K,prop-rc-dscases,HumanAnnualRLCases,HumanAnnualRodentSerovarInc/10K,prop-dc-rscases,DogAnnualDLCases,DogAnnualRLCases,RodentAnnualRLCases,RodentAnnualDLCases,averageannODN,averageannSDN,averageDN,averageannRN,iteration
0.01,0.01,0.95,3,0,0,0.587,6,82,0.011,30,41,2853,146,66,53,119,1451,1
0.01,0.01,0.95,4,0,0,0.5,2,27,0.003,19,37,3499,99,66,55,121,1458,1
0.01,0.01,0.95,5,0,0,0.467,3,40,0.007,37,30,3436,89,68,53,121,1454,1
0.01,0.01,0.95,6,0,0,0.841,3,40,0.005,16,29,2965,97,70,49,119,1456,1
0.01,0.01,0.95,7,0,0,0.531,4,54,0.002,24,29,3014,114,70,46,116,1462,1
0.01,0.01,0.95,3,1,13,0.569,0,0,0.005,40,33,2965,146,72,48,120,1432,2
0.01,0.01,0.95,4,0,0,0.999,0,0,0.003,16,22,3019,92,71,45,116,1448,2
0.01,0.01,0.95,5,0,0,1,0,0,0.018,2,43,3265,12,75,46,121,1443,2
0.01,0.01,0.95,6,0,0,0,0,0,0.008,0,34,3280,0,70,46,116,1439,2
0.01,0.01,0.95,7,0,0,0,0,0,0.015,0,35,3294,0,70,49,119,1450,2
0.01,0.01,0.95,3,0,0,0.545,0,0,0.005,42,47,2113,169,72,71,143,1368,3
0.01,0.01,0.95,4,0,0,0.907,0,0,0.008,36,28,2751,228,74,62,136,1387,3
0.01,0.01,0.95,5,0,0,0.908,0,0,0.013,28,44,3071,159,64,62,126,1370,3
0.01,0.01,0.95,6,0,0,0.696,0,0,0.014,37,27,2823,158,62,66,128,1381,3
0.01,0.01,0.95,7,0,0,0.641,0,0,0.013,47,36,2914,227,67,74,141,1373,3
0.01,0.01,0.95,3,0,0,0.858,6,76,0.034,10,59,2807,28,64,59,123,1413,4
0.01,0.01,0.95,4,0,0,0.977,11,137,0.005,10,37,2271,26,70,57,127,1391,4
0.01,0.01,0.95,5,1,12,0.511,8,99,0.014,7,37,2256,26,62,63,125,1381,4
0.01,0.01,0.95,6,0,0,0.988,5,62,0.035,8,57,2680,46,61,68,129,1419,4
0.01,0.01,0.95,7,0,0,0.437,6,74,0.009,28,37,2770,83,59,64,123,1401,4
0.01,0.01,0.95,3,0,0,0.453,0,0,0.008,11,34,2732,77,68,72,140,1435,5
0.01,0.01,0.95,4,0,0,0.629,0,0,0.004,36,36,2950,117,67,73,140,1443,5
0.01,0.01,0.95,5,0,0,0.481,0,0,0.018,44,35,2843,188,71,65,136,1433,5
0.01,0.01,0.95,6,0,0,0.741,0,0,0.002,41,15,3263,227,73,68,141,1445,5
0.01,0.01,0.95,7,0,0,0.582,0,0,0.004,43,24,3281,164,69,68,137,1433,5
0.01,0.01,0.95,3,0,0,0.753,0,0,0.007,25,44,2266,60,44,66,110,1427,6
0.01,0.01,0.95,4,0,0,0.759,1,14,0.006,11,32,2696,60,49,56,105,1430,6
0.01,0.01,0.95,5,0,0,0.736,0,0,0.002,20,14,2464,85,51,55,106,1432,6
0.01,0.01,0.95,6,0,0,0.985,2,28,0.006,11,25,2297,73,60,46,106,1389,6
0.01,0.01,0.95,7,0,0,0.988,0,0,0.004,13,32,3004,33,62,40,102,1429,6
0.01,0.01,0.95,3,0,0,0.496,0,0,0.016,55,49,2366,206,72,88,160,1400,7
0.01,0.01,0.95,4,0,0,0.868,0,0,0.031,41,55,1867,291,71,82,153,1407,7
0.01,0.01,0.95,5,0,0,0.801,0,0,0.003,62,36,1771,383,79,84,163,1397,7
0.01,0.01,0.95,6,0,0,0.581,0,0,0.033,60,63,2491,510,81,82,163,1394,7
0.01,0.01,0.95,7,0,0,0.73,0,0,0.006,74,34,3299,314,63,85,148,1409,7
0.01,0.01,0.95,3,0,0,0.281,1,14,0.001,20,6,2667,94,41,64,105,1442,8
0.01,0.01,0.95,4,0,0,0.776,0,0,0.035,28,33,2693,100,36,70,106,1417,8
0.01,0.01,0.95,5,0,0,0.559,0,0,0.034,7,46,2864,142,37,70,107,1432,8
0.01,0.01,0.95,6,0,0,0.783,0,0,0.009,11,32,2886,69,35,75,110,1391,8
0.01,0.01,0.95,7,0,0,0.353,0,0,0.016,36,37,3449,128,30,77,107,1451,8
0.01,0.01,0.95,3,0,0,0.438,0,0,0.02,92,50,2428,269,110,59,169,1419,9
0.01,0.01,0.95,4,0,0,0.463,0,0,0.015,85,70,2484,349,114,68,182,1425,9
0.01,0.01,0.95,5,0,0,0.484,0,0,0.005,63,43,2907,314,119,70,189,1432,9
0.01,0.01,0.95,6,0,0,0.859,0,0,0.012,88,61,2887,275,122,67,189,1432,9
0.01,0.01,0.95,7,0,0,0.541,0,0,0.017,91,46,2824,373,117,69,186,1442,9
0.01,0.01,0.95,3,0,0,0.616,0,0,0.017,60,37,2557,435,56,67,123,1412,10
0.01,0.01,0.95,4,0,0,0.905,0,0,0.007,19,36,2485,301,57,68,125,1425,10
0.01,0.01,0.95,5,0,0,0.396,0,0,0.013,25,42,2836,167,54,72,126,1418,10
0.01,0.01,0.95,6,0,0,0.469,0,0,0.008,25,48,3005,118,53,73,126,1418,10
0.01,0.01,0.95,7,0,0,0.748,0,0,0.016,24,38,2659,137,53,69,122,1409,10
0.01,0.01,0.95,3,0,0,0.342,0,0,0.01,23,58,3298,147,63,73,136,1483,11
0.01,0.01,0.95,4,0,0,0.839,0,0,0.016,22,30,3514,107,69,67,136,1487,11
0.01,0.01,0.95,5,0,0,0.919,1,13,0.015,28,43,3763,143,69,68,137,1496,11
0.01,0.01,0.95,6,0,0,0.499,0,0,0.007,34,38,3776,98,70,63,133,1477,11
0.01,0.01,0.95,7,0,0,0.607,0,0,0.008,29,38,3398,93,68,61,129,1476,11
0.01,0.01,0.95,3,0,0,0.627,0,0,0.011,39,40,2635,133,81,47,128,1430,12
0.01,0.01,0.95,4,0,0,0.877,0,0,0.011,31,27,2387,163,83,44,127,1444,12
0.01,0.01,0.95,5,0,0,0.862,0,0,0.007,25,32,2162,238,87,42,129,1444,12
0.01,0.01,0.95,6,0,0,0.877,0,0,0.039,12,54,2073,331,90,37,127,1431,12
0.01,0.01,0.95,7,0,0,0.742,0,0,0.015,36,46,2411,374,92,38,130,1434,12
0.01,0.01,0.95,3,0,0,0.692,0,0,0.013,25,51,3189,108,46,58,104,1434,13
0.01,0.01,0.95,4,0,0,0.814,0,0,0.008,23,36,3505,134,46,55,101,1427,13
0.01,0.01,0.95,5,0,0,0.914,0,0,0.026,36,54,3509,189,47,61,108,1427,13
0.01,0.01,0.95,6,0,0,0.93,0,0,0.008,31,27,3684,176,42,63,105,1414,13
0.01,0.01,0.95,7,0,0,0.584,0,0,0.005,12,30,3853,61,48,55,103,1438,13
0.01,0.01,0.95,3,0,0,0.737,0,0,0.019,20,45,2663,124,72,57,129,1383,14
0.01,0.01,0.95,4,1,14,0.765,0,0,0.02,22,47,2680,229,72,56,128,1383,14
0.01,0.01,0.95,5,1,14,0.912,0,0,0.013,16,37,2784,173,72,54,126,1378,14
0.01,0.01,0.95,6,1,14,0.797,0,0,0.003,28,33,2915,141,77,45,122,1368,14
0.01,0.01,0.95,7,1,14,0.545,0,0,0.009,33,18,3207,161,81,41,122,1395,14
