d-d-t,r-r-t,decay-factor,Year,HumanAnnualDLCases,HumanAnnualDogSerovarInc/10K,prop-rc-dscases,HumanAnnualRLCases,HumanAnnualRodentSerovarInc/10K,prop-dc-rscases,DogAnnualDLCases,DogAnnualRLCases,RodentAnnualRLCases,RodentAnnualDLCases,averageannODN,averageannSDN,averageDN,averageannRN,iteration
0.01,0.01,0.95,3,0,0,0.578,0,0,0.051,61,55,919,137,78,91,169,921,1
0.01,0.01,0.95,4,1,14,0.787,3,41,0.064,51,32,818,190,74,87,161,923,1
0.01,0.01,0.95,5,1,14,0.583,0,0,0.064,91,21,930,355,61,105,166,911,1
0.01,0.01,0.95,6,0,0,0.729,0,0,0.004,37,37,1001,299,56,110,166,916,1
0.01,0.01,0.95,7,0,0,0.248,1,14,0.009,92,25,1105,156,49,108,157,919,1
0.01,0.01,0.95,3,2,26,0.677,0,0,0.071,55,59,449,192,92,75,167,884,2
0.01,0.01,0.95,4,0,0,0.587,0,0,0.021,55,34,620,154,89,71,160,899,2
0.01,0.01,0.95,5,0,0,1,0,0,0.06,1,47,847,42,92,65,157,893,2
0.01,0.01,0.95,6,0,0,0.174,0,0,0.038,16,55,1090,23,94,64,158,907,2
0.01,0.01,0.95,7,1,13,0.289,0,0,0.012,45,44,972,71,92,67,159,889,2
0.01,0.01,0.95,3,0,0,0.513,1,14,0,48,31,1054,103,90,86,176,877,3
0.01,0.01,0.95,4,0,0,0.557,0,0,0.014,76,16,775,144,80,92,172,888,3
0.01,0.01,0.95,5,0,0,0.32,0,0,0.068,70,41,958,119,79,92,171,886,3
0.01,0.01,0.95,6,0,0,0.177,0,0,0.005,54,24,1261,81,83,86,169,880,3
0.01,0.01,0.95,7,0,0,0.51,0,0,0.018,90,36,1579,179,88,85,173,887,3
0.01,0.01,0.95,3,0,0,0.979,6,75,0.098,31,45,339,173,85,86,171,866,4
0.01,0.01,0.95,4,0,0,0.432,5,62,0.043,35,32,398,103,89,81,170,857,4
