d-d-t,r-r-t,decay-factor,Year,HumanAnnualDLCases,HumanAnnualDogSerovarInc/10K,prop-rc-dscases,HumanAnnualRLCases,HumanAnnualRodentSerovarInc/10K,prop-dc-rscases,DogAnnualDLCases,DogAnnualRLCases,RodentAnnualRLCases,RodentAnnualDLCases,averageannODN,averageannSDN,averageDN,averageannRN,iteration
0.01,0.01,0.95,3,0,0,0.738,3,41,0.023,23,43,3194,94,93,71,164,1457,1
0.01,0.01,0.95,4,0,0,0.537,1,14,0.004,21,25,3319,67,100,65,165,1442,1
0.01,0.01,0.95,5,0,0,0.513,2,27,0.004,35,18,3142,114,103,65,168,1471,1
0.01,0.01,0.95,6,0,0,0.826,0,0,0.006,33,39,3193,155,93,65,158,1433,1
0.01,0.01,0.95,7,0,0,0.898,2,27,0.009,20,19,3573,266,94,63,157,1447,1
0.01,0.01,0.95,3,0,0,0,0,0,0.011,0,22,2787,0,68,79,147,1430,2
0.01,0.01,0.95,4,0,0,0,0,0,0.01,0,30,2746,0,67,81,148,1453,2
0.01,0.01,0.95,5,0,0,0,0,0,0.008,0,27,2887,0,61,88,149,1439,2
0.01,0.01,0.95,6,0,0,0,0,0,0.005,0,17,3593,0,58,93,151,1442,2
0.01,0.01,0.95,7,0,0,0,0,0,0.007,0,18,3692,0,52,98,150,1444,2
0.01,0.01,0.95,3,0,0,0.482,0,0,0.004,24,26,2453,79,81,111,192,1377,3
0.01,0.01,0.95,4,0,0,0.894,0,0,0.009,28,18,2334,176,80,108,188,1385,3
0.01,0.01,0.95,5,0,0,0.998,1,13,0.033,10,44,2158,74,84,107,191,1400,3
0.01,0.01,0.95,6,0,0,1,0,0,0.017,1,43,2075,8,77,116,193,1375,3
0.01,0.01,0.95,7,0,0,0,0,0,0.012,0,27,2003,0,79,110,189,1380,3
0.01,0.01,0.95,3,0,0,0.602,7,98,0.015,10,35,3122,47,57,96,153,1407,4
0.01,0.01,0.95,4,0,0,0.999,5,71,0.005,2,17,3180,29,56,95,151,1397,4
0.01,0.01,0.95,5,0,0,0.999,12,172,0.007,3,28,3346,24,56,103,159,1410,4
0.01,0.01,0.95,6,0,0,0.752,4,59,0.002,4,21,3161,52,50,101,151,1423,4
0.01,0.01,0.95,7,0,0,1,7,104,0.002,2,19,3359,8,51,105,156,1389,4
0.01,0.01,0.95,3,0,0,0.724,0,0,0.01,13,32,3671,82,105,91,196,1440,5
0.01,0.01,0.95,4,0,0,0.628,0,0,0.014,22,47,3594,102,105,97,202,1440,5
0.01,0.01,0.95,5,0,0,0.387,0,0,0.017,11,53,3267,63,104,79,183,1440,5
0.01,0.01,0.95,6,0,0,0.688,0,0,0.004,17,26,3507,66,98,72,170,1437,5
0.01,0.01,0.95,7,0,0,0.782,0,0,0.002,7,29,3997,77,109,80,189,1439,5
0.01,0.01,0.95,3,0,0,0.917,0,0,0.01,11,14,2339,79,61,66,127,1423,6
0.01,0.01,0.95,4,0,0,0.149,1,15,0.026,14,27,1901,43,56,60,116,1432,6
0.01,0.01,0.95,5,0,0,0.927,2,29,0.006,6,20,2022,102,50,69,119,1432,6
0.01,0.01,0.95,6,0,0,1,1,15,0.005,3,11,2632,157,54,60,114,1427,6
0.01,0.01,0.95,7,0,0,0.556,1,15,0.002,4,16,2878,29,57,64,121,1423,6
0.01,0.01,0.95,3,0,0,0.687,0,0,0.031,20,43,2529,58,83,77,160,1394,7
0.01,0.01,0.95,4,0,0,0.771,0,0,0.015,3,44,2637,46,83,79,162,1393,7
0.01,0.01,0.95,5,0,0,0.449,0,0,0.013,24,30,2641,54,75,80,155,1396,7
0.01,0.01,0.95,6,0,0,0.707,0,0,0.014,26,29,2453,88,81,90,171,1400,7
0.01,0.01,0.95,7,0,0,0.634,0,0,0.032,22,40,2341,84,65,92,157,1389,7
0.01,0.01,0.95,3,0,0,0.729,0,0,0.005,8,19,2920,82,73,97,170,1405,8
0.01,0.01,0.95,4,0,0,0.984,0,0,0.014,6,33,2881,189,79,89,168,1410,8
0.01,0.01,0.95,5,0,0,1,0,0,0.005,3,21,2949,140,78,91,169,1404,8
0.01,0.01,0.95,6,0,0,1,0,0,0.002,0,15,2971,41,83,76,159,1411,8
0.01,0.01,0.95,7,0,0,1,0,0,0.02,0,25,2997,2,81,77,158,1420,8
0.01,0.01,0.95,3,0,0,0.974,0,0,0.011,14,43,3015,267,139,82,221,1422,9
0.01,0.01,0.95,4,0,0,0.244,0,0,0.008,24,30,3037,122,142,72,214,1429,9
0.01,0.01,0.95,5,0,0,1,0,0,0.024,0,46,3491,32,129,64,193,1448,9
0.01,0.01,0.95,6,0,0,0,0,0,0.008,0,46,3828,1,135,65,200,1422,9
0.01,0.01,0.95,7,0,0,0,0,0,0.03,0,44,3645,0,155,69,224,1428,9
0.01,0.01,0.95,3,0,0,0.687,0,0,0.036,21,49,2747,156,90,73,163,1420,10
0.01,0.01,0.95,4,0,0,0.881,0,0,0.004,12,27,2597,292,90,69,159,1422,10
0.01,0.01,0.95,5,0,0,0.707,0,0,0.015,48,28,2657,255,92,68,160,1418,10
0.01,0.01,0.95,6,0,0,0.798,0,0,0.017,26,45,3073,267,100,63,163,1406,10
0.01,0.01,0.95,7,0,0,0.276,0,0,0.007,36,39,3269,110,97,67,164,1429,10
0.01,0.01,0.95,3,0,0,0.698,1,14,0.014,15,36,3024,56,55,95,150,1458,11
0.01,0.01,0.95,4,0,0,0.814,0,0,0.008,9,26,3412,88,52,98,150,1476,11
0.01,0.01,0.95,5,0,0,0.623,0,0,0.007,6,28,3603,76,51,92,143,1465,11
0.01,0.01,0.95,6,0,0,0.986,0,0,0.011,5,28,3664,46,57,86,143,1457,11
0.01,0.01,0.95,7,0,0,0.971,1,14,0.011,3,30,3467,57,58,89,147,1482,11
0.01,0.01,0.95,3,0,0,0.89,0,0,0.002,18,27,2906,127,83,95,178,1448,12
0.01,0.01,0.95,4,0,0,0.612,0,0,0.007,9,27,3077,39,88,90,178,1444,12
0.01,0.01,0.95,5,0,0,1,0,0,0.032,7,57,3099,42,87,91,178,1443,12
0.01,0.01,0.95,6,0,0,0.987,0,0,0.005,8,35,3092,106,89,94,183,1454,12
0.01,0.01,0.95,7,0,0,0.379,0,0,0.013,16,40,3144,120,86,93,179,1437,12
0.01,0.01,0.95,3,0,0,0.961,0,0,0.019,5,31,2445,25,65,90,155,1425,13
0.01,0.01,0.95,4,0,0,0.564,0,0,0.024,11,45,2629,50,63,94,157,1408,13
0.01,0.01,0.95,5,0,0,0.804,0,0,0.018,20,32,3040,90,69,89,158,1425,13
